<unknown>	-0.8101269681765548	-0.7587152663523493
a	-4.440425452870532	-4.244607016871173
abandon	-13.144430106353576	-11.791053290617198
ability	-9.193186387772148	-8.72300035548358
able	-7.871430547789829	-8.51390855762502
abortion	-13.144430106353576	-12.484200471177143
about	-6.84181113060867	-6.76717276977092
above	-7.676369965218444	-7.765701599882048
abroad	-12.451282925793631	-10.692441001949087
absence	-10.148697832799584	-10.874762558743042
absolute	-12.045817817685466	-10.181615378183096
absolutely	-11.35267063712552	-9.539761492010703
absorb	-13.144430106353576	-11.385588182509032
abuse	-13.144430106353576	-10.181615378183096
academic	-13.144430106353576	-11.791053290617198
accept	-9.886333568332093	-9.393158017818827
access	-7.996935629540123	-8.250093966579882
accident	-13.144430106353576	-11.097906110057252
accompany	-13.144430106353576	-10.874762558743042
accomplish	-10.199991127187134	-10.692441001949087
according	-8.910323601756316	-9.776150270074933
account	-8.308148199402098	-7.2215102822722566
accurate	-10.099907668630152	-10.086305198378772
accuse	-13.144430106353576	-10.874762558743042
achieve	-10.84184501335953	-9.439678033453719
achievement	-13.144430106353576	-11.791053290617198
acid	-13.144430106353576	-10.692441001949087
acknowledge	-11.758135745233686	-11.097906110057252
acquire	-11.534992193919475	-8.987692909710661
across	-9.21260447362925	-9.999293821389141
act	-10.579480748892038	-7.330908876679364
action	-9.48086846022393	-8.11475261871012
active	-9.406760488070207	-9.151995961001939
activist	-13.144430106353576	-12.484200471177143
activity	-7.5423112854738745	-9.306146640829196
actor	-13.144430106353576	-12.484200471177143
actress	-13.144430106353576	-11.385588182509032
actual	-7.659633172862921	-8.441149203342592
actually	-9.48086846022393	-9.776150270074933
ad	-11.534992193919475	-9.050213266691996
adapt	-13.144430106353576	-11.385588182509032
add	-8.174616806777575	-8.634052869467084
addition	-8.443949740561159	-9.48846819762315
additional	-7.876571947290247	-8.279507851786176
address	-8.02643629393682	-7.384334043352944
adequate	-11.758135745233686	-11.097906110057252
adjust	-9.560911167897466	-11.385588182509032
adjustment	-9.294282504643517	-12.484200471177143
administration	-9.777134276367102	-10.286975893840923
administrator	-10.947205529017356	-12.484200471177143
admire	-13.144430106353576	-11.385588182509032
admission	-11.758135745233686	-11.791053290617198
admit	-13.144430106353576	-11.097906110057252
adolescent	-13.144430106353576	-11.385588182509032
adopt	-13.144430106353576	-11.097906110057252
adult	-12.451282925793631	-9.018464568377416
advance	-9.589082044864162	-10.692441001949087
advanced	-11.758135745233686	-8.846614311450757
advantage	-10.05338765299526	-8.846614311450757
adventure	-12.451282925793631	-10.53829032212183
advertising	-12.451282925793631	-9.265324646308942
advice	-9.848593240349247	-7.402796106192679
advise	-8.22444918052545	-9.845143141561884
adviser	-13.144430106353576	-11.097906110057252
advocate	-13.144430106353576	-11.097906110057252
affair	-13.144430106353576	-10.874762558743042
affect	-10.31121676229736	-10.404758929497307
afford	-11.198519957298263	-9.999293821389141
afraid	-11.198519957298263	-10.53829032212183
African	-13.144430106353576	-12.484200471177143
African-American	-13.144430106353576	-12.484200471177143
after	-7.50607543701983	-7.535440580798975
afternoon	-8.462298879229357	-11.385588182509032
again	-7.746267404835823	-8.053383672333828
against	-9.337767616583255	-9.018464568377416
age	-10.436379905251366	-8.634052869467084
agency	-9.155446059789302	-10.404758929497307
agenda	-10.099907668630152	-10.874762558743042
agent	-9.506843946627189	-8.820638825047496
aggressive	-12.451282925793631	-9.188363605172814
ago	-9.506843946627189	-8.928852409687728
agree	-8.160823484645238	-9.711611748937361
agreement	-7.22285168670976	-8.441149203342592
agricultural	-12.045817817685466	-10.404758929497307
ah	-12.451282925793631	-11.097906110057252
ahead	-9.812225596178372	-9.919251113715605
aid	-11.758135745233686	-9.711611748937361
aide	-13.144430106353576	-11.791053290617198
AIDS	-13.144430106353576	-12.484200471177143
aim	-9.812225596178372	-10.53829032212183
air	-9.589082044864162	-8.846614311450757
aircraft	-13.144430106353576	-11.791053290617198
airline	-11.198519957298263	-11.791053290617198
airport	-10.947205529017356	-11.791053290617198
album	-12.451282925793631	-11.791053290617198
alcohol	-13.144430106353576	-9.265324646308942
alive	-11.35267063712552	-10.086305198378772
all	-6.192657941954664	-5.699743408539499
alliance	-12.451282925793631	-10.53829032212183
allow	-8.840365013149405	-9.22610393315566
ally	-12.451282925793631	-10.404758929497307
almost	-10.31121676229736	-9.116904641190668
alone	-11.06498856467374	-9.188363605172814
along	-9.383229990660013	-9.593828713280978
already	-8.365306613242046	-8.592380173066516
also	-6.829072104831241	-7.1323423377010755
alter	-12.451282925793631	-11.097906110057252
alternative	-10.099907668630152	-9.265324646308942
although	-10.008935890424427	-9.711611748937361
always	-8.93973748696261	-8.006863656698936
AM	-13.144430106353576	-12.484200471177143
amazing	-11.198519957298263	-9.306146640829196
American	-13.144430106353576	-12.484200471177143
among	-10.008935890424427	-9.116904641190668
amount	-8.348639560756835	-9.188363605172814
analysis	-9.101378838519025	-10.286975893840923
analyst	-9.21260447362925	-10.692441001949087
analyze	-11.758135745233686	-10.53829032212183
ancient	-13.144430106353576	-10.692441001949087
and	-4.168167850744382	-3.986393993561095
anger	-13.144430106353576	-9.650987127120926
angle	-12.451282925793631	-11.791053290617198
angry	-12.451282925793631	-11.097906110057252
animal	-13.144430106353576	-10.692441001949087
anniversary	-10.371841384113795	-11.385588182509032
announce	-9.812225596178372	-9.776150270074933
annual	-10.099907668630152	-9.188363605172814
another	-8.13379481225732	-8.72300035548358
answer	-8.86776398733752	-9.439678033453719
anticipate	-10.84184501335953	-10.53829032212183
anxiety	-12.451282925793631	-9.22610393315566
